Timestamp,Have you bought something using the mobile device in the last 12 months?,It is fast to buy products using a mobile device,It is comfortable to buy products using a mobile device,I think mobile device is useful for buying products,I think learning how to use a mobile device for buying products is intuitive,I think using mobile device for buying products is free of effort,I think using mobile device for buying products is simple,Prices of the products are generally attractive when using a mobile device for buying products,The price/quality ratio when using a mobile device for buying products is good,Using a mobile device for buying products is beneficial from a financial point of view,Using a mobile device for buying products is fun,It is a pleasure to use a mobile device for buying products,Using a mobile device for buying products is entertainment,Using mobile device for buying products has become habit for me,I am addicted to using mobile device for buying products,I must use mobile device for buying products,I believe there is a risk associated with using mobile device for  buying products,There is a possibility of serious financial loss when using a mobile device for buying products,There is an uncertainty associated with using mobile device for  buying products,My family think that it’s good to use mobile device for buying products,My friends think that it’s good to use mobile device for buying products,People who are important to me think that it’s good to use mobile device for buying products,I am going to use a mobile device to compare features of the products,I am going to use a mobile device to compare prices of the products,I am going to use a mobile device to order products,I am going to use a mobile device to make payments for the purchased products,What is your gender?,What year you were born?
3/4/2019 6:29:09,Yes,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Male,1998
3/4/2019 6:31:37,Yes,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Male,1999
3/4/2019 6:34:49,Yes,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Female,2000
3/4/2019 6:37:42,Yes,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Female,1999
3/4/2019 6:41:43,Yes,Neither agree nor disagree,Disagree,Somewhat disagree,Strongly agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Agree,Male,2000
3/4/2019 6:54:37,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Male,2000
3/4/2019 6:56:27,Yes,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Male,2000
3/4/2019 6:59:58,Yes,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Female,1999
3/4/2019 7:01:20,Yes,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Female,2000
3/4/2019 7:11:47,Yes,Strongly agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Female,2000
3/4/2019 7:35:58,Yes,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Somewhat agree,Somewhat disagree,Male,2000
3/4/2019 8:01:38,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Disagree,Disagree,Agree,Strongly agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Male,1999
3/4/2019 8:02:58,Yes,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Male,2000
3/4/2019 8:19:29,Yes,Disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Agree,Male,2000
3/4/2019 8:20:05,Yes,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Somewhat agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Strongly agree,Male,1999
3/4/2019 8:24:20,Yes,Agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Disagree,Female,1999
3/4/2019 8:28:01,Yes,Strongly agree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Strongly disagree,Female,1999
3/4/2019 8:56:27,Yes,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Female,1989
3/4/2019 9:29:04,Yes,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Disagree,Disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Female,1999
3/4/2019 9:30:23,Yes,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Female,1999
3/4/2019 9:34:17,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2019 9:35:09,Yes,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Female,1999
3/4/2019 9:42:11,Yes,Agree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Female,2000
3/4/2019 9:42:32,Yes,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Female,1999
3/4/2019 9:43:34,Yes,Disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Somewhat disagree,Disagree,Disagree,Somewhat disagree,Disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Somewhat disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Female,1999
3/4/2019 9:43:34,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Disagree,Somewhat agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Male,1998
3/4/2019 9:50:52,Yes,Somewhat agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Strongly agree,Agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Male,1990
3/4/2019 9:59:12,Yes,Agree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Female,1989
3/4/2019 10:00:16,Yes,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,1999
3/4/2019 10:10:31,Yes,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Female,1999
3/4/2019 10:11:43,Yes,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Agree,Disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Female,1999
3/4/2019 10:15:48,Yes,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly agree,Male,1992
3/4/2019 10:32:39,Yes,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Male,1998
3/4/2019 10:42:04,Yes,Agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Somewhat disagree,Disagree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Female,1998
3/4/2019 10:55:25,Yes,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,Agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Male,1994
3/4/2019 11:04:39,Yes,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Female,1998
3/4/2019 11:13:21,Yes,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Female,1998
3/4/2019 11:26:26,Yes,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat disagree,Strongly agree,Strongly agree,Agree,Somewhat agree,Female,1999
3/4/2019 11:37:10,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Female,1998
3/4/2019 11:50:36,Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Male,1986
3/4/2019 11:55:03,Yes,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Disagree,Somewhat agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Female,2000
3/4/2019 11:58:03,Yes,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Male,2000
3/4/2019 12:12:01,Yes,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Male,2000
3/4/2019 12:12:24,Yes,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Somewhat agree,Disagree,Strongly disagree,Disagree,Female,1999
3/4/2019 12:15:00,Yes,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Disagree,Female,1999
3/4/2019 12:21:15,Yes,Somewhat disagree,Somewhat agree,Agree,Agree,Somewhat disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Female,2000
3/4/2019 12:26:07,Yes,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Disagree,Somewhat agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Somewhat disagree,Prefer not to say,1999
3/4/2019 12:30:15,Yes,Somewhat agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Male,1999
3/4/2019 12:58:33,Yes,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Male,1998
3/4/2019 13:00:11,Yes,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Strongly disagree,Male,2000
3/4/2019 13:05:59,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/4/2019 13:09:43,Yes,Agree,Agree,Agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Male,2000
3/4/2019 13:15:09,Yes,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Male,2000
3/4/2019 13:31:52,Yes,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Male,2000
3/4/2019 13:41:28,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,1999
3/4/2019 13:52:00,Yes,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree,Female,1999
3/4/2019 13:56:26,Yes,Strongly agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Strongly disagree,Female,1999
3/4/2019 14:00:15,Yes,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Male,1999
3/4/2019 14:11:10,Yes,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Female,1999
3/4/2019 14:15:24,Yes,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Somewhat agree,Female,1999
3/4/2019 14:39:19,Yes,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Female,1999
3/4/2019 14:57:31,Yes,Agree,Neither agree nor disagree,Disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Disagree,Somewhat agree,Strongly disagree,Female,1999
3/4/2019 15:02:18,Yes,Somewhat agree,Disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Male,2000
3/4/2019 15:34:46,Yes,Strongly agree,Agree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Disagree,Agree,Disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Male,1998
3/4/2019 15:40:36,Yes,Agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Somewhat agree,Neither agree nor disagree,Disagree,Agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Somewhat disagree,Disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Female,1998
3/4/2019 15:54:45,Yes,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Female,2000
